ÍNDICE MODELO,HIDDEN_LAYERS_STRUCTURE,r2Score,MSE,LEARNING_RATE_RBM,LEARNING_RATE,N_EPOCHS_RBM,N_ITER_BACKPROP,BATCH_SIZE,ACTIVATION_FUNCTION,DROPOUT_P,CONJUNTO DE TREINO
101,"[90, 90, 90]","0,99506667521572","2,18826091165379","0,01","0,01",3,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
51,"[60, 60]","0,993900293452655","2,70562956905785","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
53,"[60, 60]","0,993887501844648","2,71130350641725","0,01","0,01",7,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
96,"[75, 75, 75]","0,99365725339249","2,81343416066333","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
136,[90],"0,995020575456565","2,84077952716583","0,01","0,01",3,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
165,"[75, 75]","0,99501635320855","2,84318833477324","0,01","0,01",3,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
138,[90],"0,994972434596127","2,86824406037866","0,01","0,01",3,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
98,"[75, 75, 75]","0,993532891631404","2,86859695504397","0,01","0,01",7,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
182,"[45, 45, 45]","0,994924299965156","2,89570503965811","0,01","0,01",3,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
118,[60],"0,994899878991902","2,9096372923203","0,01","0,01",3,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
127,[75],"0,994896493236714","2,9115688777751","0,01","0,01",3,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
120,[60],"0,994896045091596","2,91182454616974","0,01","0,01",3,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
177,"[90, 90]","0,994891292193408","2,91453609160004","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
109,[45],"0,994871124643106","2,92604175124217","0,01","0,01",3,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
202,"[75, 75, 75]","0,99486307255283","2,93063549756903","0,01","0,01",5,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
149,"[45, 45]","0,994855438100417","2,93499098000028","0,01","0,01",5,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
110,[45],"0,994852604257738","2,9366076973931","0,01","0,01",3,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
191,"[60, 60, 60]","0,994834571598977","2,94689539376887","0,01","0,01",3,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
137,[90],"0,99481530166","2,95788896293706","0,01","0,01",3,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
129,[75],"0,99481198016221","2,95978388931649","0,01","0,01",3,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
195,"[60, 60, 60]","0,994796712304951","2,96849425653764","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
255,"[45, 45]","0,995528007745092","2,96936262114583","0,01","0,01",3,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
228,[60],"0,995525292381008","2,97116559846643","0,01","0,01",3,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
162,"[60, 60]","0,994791168075278","2,97165725941327","0,01","0,01",7,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
181,"[45, 45, 45]","0,99478899389602","2,97289763646319","0,01","0,01",3,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
211,"[90, 90, 90]","0,994787685493512","2,97364408477727","0,01","0,01",5,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
61,"[75, 75]","0,993288621407762","2,97694720678069","0,01","0,01",7,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
158,"[60, 60]","0,994773063831584","2,98198579524962","0,01","0,01",5,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
121,[60],"0,99476231668892","2,98811707861156","0,01","0,01",5,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
207,"[75, 75, 75]","0,994759874335198","2,98951045015314","0,01","0,01",7,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
163,"[75, 75]","0,994759529153825","2,98970737736143","0,01","0,01",3,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
150,"[45, 45]","0,994752020978797","2,99399081809278","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
174,"[90, 90]","0,994735793918351","3,00324841416589","0,01","0,01",3,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
196,"[60, 60, 60]","0,994727649275329","3,00789496216581","0,01","0,01",7,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
170,"[75, 75]","0,99472445056727","3,00971983656424","0,01","0,01",7,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
119,[60],"0,994718553602263","3,01308407621071","0,01","0,01",3,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
140,[90],"0,994718224773544","3,01327167417178","0,01","0,01",5,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
240,[75],"0,995461760868216","3,01334995134516","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
159,"[60, 60]","0,994708856707531","3,01861618936772","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
239,[75],"0,99544096068953","3,02716108284584","0,01","0,01",5,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
173,"[90, 90]","0,994689682164698","3,0295553346942","0,01","0,01",3,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
237,[75],"0,995431597490004","3,03337816308659","0,01","0,01",3,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
24,[75],"0,993160936563309","3,03358401184521","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
77,"[45, 45, 45]","0,993148548173505","3,03907909484749","0,01","0,01",5,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
152,"[45, 45]","0,994670938452113","3,04024868982201","0,01","0,01",7,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
183,"[45, 45, 45]","0,99467081540007","3,04031889145277","0,01","0,01",3,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
139,[90],"0,994667565974952","3,04217270011465","0,01","0,01",5,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
128,[75],"0,994663790576637","3,04432657836866","0,01","0,01",3,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
114,[45],"0,994663513372228","3,04448472447594","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
141,[90],"0,994663475907324","3,04450609833811","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
263,"[60, 60]","0,995401474327226","3,05337967214254","0,01","0,01",3,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
167,"[75, 75]","0,994641420421833","3,05708883176391","0,01","0,01",5,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
253,"[45, 45]","0,995395469862076","3,05736658297822","0,01","0,01",3,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
230,[60],"0,995394072958786","3,05829411419388","0,01","0,01",5,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
36,[90],"0,99308793773532","3,06596389536588","0,01","0,01",7,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
248,[90],"0,99538045697812","3,06733500284867","0,01","0,01",5,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
264,"[60, 60]","0,99538037911553","3,06738670290806","0,01","0,01",3,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
274,"[75, 75]","0,995378144569542","3,06887042133855","0,01","0,01",5,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
227,[60],"0,995372189726978","3,07282438322369","0,01","0,01",3,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
252,[90],"0,995368953371001","3,07497329447342","0,01","0,01",7,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
148,"[45, 45]","0,994580607225119","3,09178297818548","0,01","0,01",5,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
166,"[75, 75]","0,994573583155783","3,09579023488661","0,01","0,01",5,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
262,"[60, 60]","0,995335487075235","3,09719461375395","0,01","0,01",3,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
219,[45],"0,995331292578848","3,09997972161525","0,01","0,01",3,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
256,"[45, 45]","0,995324477653515","3,10450477072002","0,01","0,01",5,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
244,[90],"0,995320332748702","3,10725695022277","0,01","0,01",3,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
52,"[60, 60]","0,992993892256438","3,1076793822544","0,01","0,01",7,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
273,"[75, 75]","0,99531382067061","3,11158091148424","0,01","0,01",3,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
126,[60],"0,99454236111933","3,11360251845007","0,01","0,01",7,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
123,[60],"0,994531556895244","3,11976636696789","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
231,[60],"0,99530001450892","3,12074807862781","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
180,"[90, 90]","0,994526036049511","3,1229160292217","0,01","0,01",7,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
154,"[60, 60]","0,994517129006696","3,12799752903263","0,01","0,01",3,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
144,[90],"0,994514975633629","3,12922603607606","0,01","0,01",7,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
188,"[45, 45, 45]","0,994506940909842","3,1338098747588","0,01","0,01",7,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
221,[45],"0,995278540950514","3,13500632820402","0,01","0,01",5,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
222,[45],"0,995275401878203","3,13709064397484","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
229,[60],"0,995273460274369","3,13837985145119","0,01","0,01",5,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
247,[90],"0,995271569762643","3,13963513422779","0,01","0,01",5,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
132,[75],"0,994489947493485","3,1435046796231","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
204,"[75, 75, 75]","0,994477439502099","3,15064053348446","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
266,"[60, 60]","0,995254285815824","3,15111151940586","0,01","0,01",5,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
217,[45],"0,995253309239974","3,15175995698371","0,01","0,01",3,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
249,[90],"0,995244169234923","3,15782883810158","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
245,[90],"0,995243046966749","3,15857401407161","0,01","0,01",3,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
251,[90],"0,995242632856421","3,15884897960381","0,01","0,01",7,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
283,"[90, 90]","0,99523532848333","3,16369901761582","0,01","0,01",5,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
213,"[90, 90, 90]","0,994450751554726","3,16586610299688","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
281,"[90, 90]","0,995230367140239","3,16699330478967","0,01","0,01",3,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
279,"[75, 75]","0,995219537903502","3,17418382054825","0,01","0,01",7,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
94,"[75, 75, 75]","0,992833500863105","3,17882373863561","0,01","0,01",5,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
57,"[75, 75]","0,992822556705086","3,18367820783267","0,01","0,01",3,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
78,"[45, 45, 45]","0,99282156299998","3,18411898279415","0,01","0,01",5,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
113,[45],"0,994418044133301","3,18452580400473","0,01","0,01",5,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
171,"[75, 75]","0,994416524414824","3,18539280883583","0,01","0,01",7,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
203,"[75, 75, 75]","0,994412076775157","3,18793020318713","0,01","0,01",5,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
226,[60],"0,995198413272761","3,18821038529484","0,01","0,01",3,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
233,[60],"0,995191544820944","3,19277097550293","0,01","0,01",7,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
134,[75],"0,9944002023344","3,19470461414699","0,01","0,01",7,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
200,"[75, 75, 75]","0,994396562181214","3,19678133457025","0,01","0,01",3,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
318,"[90, 90, 90]","0,995179422120729","3,20082033937375","0,01","0,01",3,60,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
293,"[45, 45, 45]","0,995171600927347","3,20601354140923","0,01","0,01",5,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
43,"[45, 45]","0,992756715782947","3,21288307931444","0,01","0,01",7,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
115,[45],"0,994364607102638","3,21501182128921","0,01","0,01",7,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
218,[45],"0,995143029310914","3,22498483765149","0,01","0,01",3,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
212,"[90, 90, 90]","0,99434690959319","3,22510831378215","0,01","0,01",5,50,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-11-13_DuracaoSetp_6s_DuracaoSimulacao_180s.csv
307,"[75, 75, 75]","0,995137801555138","3,22845602045099","0,01","0,01",3,40,16,sigmoid,0,conjuntoDadosRNA_19-09-30_12-13-35_DuracaoSetp_6s_DuracaoSimulacao_240s.csv
