time;vel_PID;vel_RNA;A = vel_PID - vel_RNA;A²;
2,4;1,0298;0,99009;0,03971;0,001576884;
2,42;1,0293;0,9905;0,0388;0,00150544;
2,44;1,0287;0,9909;0,0378;0,00142884;
2,46;1,0282;0,99129;0,03691;0,001362348;
2,48;1,0276;0,99166;0,03594;0,001291684;
2,5;1,027;0,99203;0,03497;0,001222901;
2,52;1,0265;0,99237;0,03413;0,001164857;
2,54;1,0259;0,99271;0,03319;0,001101576;
2,56;1,0253;0,99304;0,03226;0,001040708;
2,58;1,0247;0,99335;0,03135;0,000982822;
2,6;1,0241;0,99366;0,03044;0,000926594;
2,62;1,0235;0,99396;0,02954;0,000872612;
2,64;1,0229;0,99425;0,02865;0,000820822;
2,66;1,0223;0,99452;0,02778;0,000771728;
2,68;1,0217;0,9948;0,0269;0,00072361;
2,7;1,0211;0,99506;0,02604;0,000678082;
2,72;1,0205;0,99531;0,02519;0,000634536;
2,74;1,02;0,99556;0,02444;0,000597314;
2,76;1,0194;0,9958;0,0236;0,00055696;
2,78;1,0188;0,99604;0,02276;0,000518018;
2,8;1,0182;0,99626;0,02194;0,000481364;
2,82;1,0176;0,99649;0,02111;0,000445632;
2,84;1,0171;0,9967;0,0204;0,00041616;
2,86;1,0165;0,99691;0,01959;0,000383768;
2,88;1,016;0,99711;0,01889;0,000356832;
2,9;1,0154;0,99731;0,01809;0,000327248;
2,92;1,0149;0,99751;0,01739;0,000302412;
2,94;1,0144;0,9977;0,0167;0,00027889;
2,96;1,0139;0,99788;0,01602;0,00025664;
2,98;1,0134;0,99806;0,01534;0,000235316;
3;1,0129;0,99824;0,01466;0,000214916;
3,02;1,0124;0,99841;0,01399;0,00019572;
3,04;1,0119;0,99857;0,01333;0,000177689;
3,06;1,0115;0,99873;0,01277;0,000163073;
3,08;1,011;0,99889;0,01211;0,000146652;
3,1;1,0105;0,99905;0,01145;0,000131102;
3,12;1,0101;0,9992;0,0109;0,00011881;
3,14;1,0097;0,99935;0,01035;0,000107123;
3,16;1,0093;0,99949;0,00981;9,62361E-05;
3,18;1,0089;0,99963;0,00927;8,59329E-05;
3,2;1,0085;0,99977;0,00873;7,62129E-05;
3,22;1,0081;0,9999;0,0082;6,724E-05;
3,24;1,0077;1;0,0077;5,929E-05;
3,26;1,0073;1,0002;0,0071;5,041E-05;
3,28;1,007;1,0003;0,0067;4,489E-05;
3,3;1,0066;1,0004;0,0062;3,844E-05;
3,32;1,0063;1,0005;0,0058;3,364E-05;
3,34;1,006;1,0006;0,0054;2,916E-05;
3,36;1,0057;1,0008;0,0049;2,401E-05;
3,38;1,0054;1,0009;0,0045;2,025E-05;
3,4;1,0051;1,001;0,0041;1,681E-05;
3,42;1,0048;1,0011;0,0037;1,369E-05;
3,44;1,0045;1,0012;0,0033;1,089E-05;
3,46;1,0042;1,0013;0,0029;8,41E-06;
3,48;1,004;1,0014;0,0026;6,76E-06;
3,5;1,0037;1,0015;0,0022;4,84E-06;
3,52;1,0035;1,0016;0,0019;3,61E-06;
3,54;1,0033;1,0017;0,0016;2,56E-06;
3,56;1,003;1,0017;0,0013;1,69E-06;
3,58;1,0028;1,0018;0,001;1E-06;
3,6;1,0026;1,0019;0,0007;4,9E-07;
3,62;1,0024;1,002;0,0004;1,6E-07;
3,64;1,0022;1,0021;1E-04;1E-08;
3,66;1,002;1,0022;-0,0002;4E-08;
3,68;1,0019;1,0022;-0,0003;9E-08;
3,7;1,0017;1,0023;-0,0006;3,6E-07;
3,72;1,0015;1,0024;-0,0009;8,1E-07;
3,74;1,0014;1,0025;-0,0011;1,21E-06;
3,76;1,0012;1,0025;-0,0013;1,69E-06;
3,78;1,0011;1,0026;-0,0015;2,25E-06;
3,8;1,001;1,0027;-0,0017;2,89E-06;
3,82;1,0008;1,0027;-0,0019;3,61E-06;
3,84;1,0007;1,0028;-0,0021;4,41E-06;
3,86;1,0006;1,0028;-0,0022;4,84E-06;
3,88;1,0005;1,0029;-0,0024;5,76E-06;
3,9;1,0004;1,003;-0,0026;6,76E-06;
3,92;1,0003;1,003;-0,0027;7,29E-06;
3,94;1,0002;1,0031;-0,0029;8,41E-06;
3,96;1,0001;1,0031;-0,003;9E-06;
3,98;1;1,0032;-0,0032;1,024E-05;
4;0,99995;1,0032;-0,00325;1,05625E-05;
4,02;0,99988;1,0033;-0,00342;1,16964E-05;
4,04;0,99981;1,0033;-0,00349;1,21801E-05;
4,06;0,99975;1,0034;-0,00365;1,33225E-05;
4,08;0,99969;1,0034;-0,00371;1,37641E-05;
4,1;0,99963;1,0034;-0,00377;1,42129E-05;
4,12;0,99958;1,0035;-0,00392;1,53664E-05;
4,14;0,99953;1,0035;-0,00397;1,57609E-05;
4,16;0,99948;1,0036;-0,00412;1,69744E-05;
4,18;0,99944;1,0036;-0,00416;1,73056E-05;
4,2;0,9994;1,0036;-0,0042;1,764E-05;
4,22;0,99937;1,0037;-0,00433;1,87489E-05;
4,24;0,99933;1,0037;-0,00437;1,90969E-05;
4,26;0,9993;1,0037;-0,0044;1,936E-05;
4,28;0,99928;1,0038;-0,00452;2,04304E-05;
4,3;0,99925;1,0038;-0,00455;2,07025E-05;
4,32;0,99923;1,0038;-0,00457;2,08849E-05;
4,34;0,99921;1,0039;-0,00469;2,19961E-05;
4,36;0,9992;1,0039;-0,0047;2,209E-05;
4,38;0,99918;1,0039;-0,00472;2,22784E-05;
4,4;0,99917;1,004;-0,00483;2,33289E-05;
4,42;0,99916;1,004;-0,00484;2,34256E-05;
4,44;0,99915;1,004;-0,00485;2,35225E-05;
4,46;0,99914;1,004;-0,00486;2,36196E-05;
4,48;0,99914;1,004;-0,00486;2,36196E-05;
4,5;0,99913;1,0041;-0,00497;2,47009E-05;
4,52;0,99913;1,0041;-0,00497;2,47009E-05;
4,54;0,99913;1,0041;-0,00497;2,47009E-05;
4,56;0,99913;1,0041;-0,00497;2,47009E-05;
4,58;0,99913;1,0041;-0,00497;2,47009E-05;
4,6;0,99913;1,0042;-0,00507;2,57049E-05;
4,62;0,99914;1,0042;-0,00506;2,56036E-05;
4,64;0,99914;1,0042;-0,00506;2,56036E-05;
4,66;0,99915;1,0042;-0,00505;2,55025E-05;
4,68;0,99916;1,0042;-0,00504;2,54016E-05;
4,7;0,99917;1,0042;-0,00503;2,53009E-05;
4,72;0,99917;1,0043;-0,00513;2,63169E-05;
4,74;0,99918;1,0043;-0,00512;2,62144E-05;
4,76;0,99919;1,0043;-0,00511;2,61121E-05;
4,78;0,9992;1,0043;-0,0051;2,601E-05;
4,8;0,99922;1,0043;-0,00508;2,58064E-05;
4,82;0,99923;1,0043;-0,00507;2,57049E-05;
4,84;0,99924;1,0043;-0,00506;2,56036E-05;
4,86;0,99925;1,0043;-0,00505;2,55025E-05;
4,88;0,99927;1,0044;-0,00513;2,63169E-05;
4,9;0,99928;1,0044;-0,00512;2,62144E-05;
4,92;0,99929;1,0044;-0,00511;2,61121E-05;
4,94;0,99931;1,0044;-0,00509;2,59081E-05;
4,96;0,99932;1,0044;-0,00508;2,58064E-05;
4,98;0,99934;1,0044;-0,00506;2,56036E-05;
5;0,99935;1,0044;-0,00505;2,55025E-05;
5,02;0,99937;1,0044;-0,00503;2,53009E-05;
5,04;0,99938;1,0044;-0,00502;2,52004E-05;
5,06;0,9994;1,0044;-0,005;0,000025;
5,08;0,99941;1,0044;-0,00499;2,49001E-05;
5,1;0,99943;1,0044;-0,00497;2,47009E-05;
5,12;0,99944;1,0044;-0,00496;2,46016E-05;
5,14;0,99946;1,0045;-0,00504;2,54016E-05;
5,16;0,99947;1,0045;-0,00503;2,53009E-05;
5,18;0,99949;1,0045;-0,00501;2,51001E-05;
5,2;0,9995;1,0045;-0,005;2,5E-05;
5,22;0,99952;1,0045;-0,00498;2,48004E-05;
5,24;0,99953;1,0045;-0,00497;2,47009E-05;
5,26;0,99954;1,0045;-0,00496;2,46016E-05;
5,28;0,99956;1,0045;-0,00494;2,44036E-05;
5,3;0,99957;1,0045;-0,00493;2,43049E-05;
5,32;0,99959;1,0045;-0,00491;2,41081E-05;
5,34;0,9996;1,0045;-0,0049;2,401E-05;
5,36;0,99961;1,0045;-0,00489;2,39121E-05;
5,38;0,99963;1,0045;-0,00487;2,37169E-05;
5,4;0,99964;1,0045;-0,00486;2,36196E-05;
5,42;0,99965;1,0045;-0,00485;2,35225E-05;
5,44;0,99967;1,0045;-0,00483;2,33289E-05;
5,46;0,99968;1,0045;-0,00482;2,32324E-05;
5,48;0,99969;1,0045;-0,00481;2,31361E-05;
5,5;0,9997;1,0045;-0,0048;2,304E-05;
5,52;0,99971;1,0045;-0,00479;2,29441E-05;
5,54;0,99972;1,0045;-0,00478;2,28484E-05;
5,56;0,99974;1,0045;-0,00476;2,26576E-05;
5,58;0,99975;1,0045;-0,00475;2,25625E-05;
5,6;0,99976;1,0045;-0,00474;2,24676E-05;
5,62;0,99977;1,0045;-0,00473;2,23729E-05;
5,64;0,99978;1,0045;-0,00472;2,22784E-05;
5,66;0,99979;1,0045;-0,00471;2,21841E-05;
5,68;0,9998;1,0045;-0,0047;2,209E-05;
5,7;0,99981;1,0045;-0,00469;2,19961E-05;
5,72;0,99982;1,0045;-0,00468;2,19024E-05;
5,74;0,99983;1,0045;-0,00467;2,18089E-05;
5,76;0,99983;1,0045;-0,00467;2,18089E-05;
5,78;0,99984;1,0045;-0,00466;2,17156E-05;
5,8;0,99985;1,0045;-0,00465;2,16225E-05;
5,82;0,99986;1,0045;-0,00464;2,15296E-05;
5,84;0,99987;1,0045;-0,00463;2,14369E-05;
5,86;0,99987;1,0045;-0,00463;2,14369E-05;
5,88;0,99988;1,0045;-0,00462;2,13444E-05;
5,9;0,99989;1,0045;-0,00461;2,12521E-05;
5,92;0,99989;1,0045;-0,00461;2,12521E-05;
5,94;0,9999;1,0045;-0,0046;2,116E-05;
5,96;0,99991;1,0045;-0,00459;2,10681E-05;
5,98;0,99991;1,0045;-0,00459;2,10681E-05;
6;0,99992;1,0045;-0,00458;2,09764E-05;
6,02;0,99992;1,0045;-0,00458;2,09764E-05;
6,04;0,99993;1,0045;-0,00457;2,08849E-05;
6,06;0,99993;1,0045;-0,00457;2,08849E-05;
6,08;0,99994;1,0045;-0,00456;2,07936E-05;
6,1;0,99994;1,0045;-0,00456;2,07936E-05;
6,12;0,99995;1,0045;-0,00455;2,07025E-05;
6,14;0,99995;1,0045;-0,00455;2,07025E-05;
6,16;0,99996;1,0045;-0,00454;2,06116E-05;
6,18;0,99996;1,0045;-0,00454;2,06116E-05;
6,2;0,99997;1,0045;-0,00453;2,05209E-05;
6,22;0,99997;1,0045;-0,00453;2,05209E-05;
6,24;0,99997;1,0045;-0,00453;2,05209E-05;
6,26;0,99998;1,0045;-0,00452;2,04304E-05;
6,28;0,99998;1,0045;-0,00452;2,04304E-05;
6,3;0,99998;1,0045;-0,00452;2,04304E-05;
6,32;0,99998;1,0045;-0,00452;2,04304E-05;
6,34;0,99999;1,0045;-0,00451;2,03401E-05;
6,36;0,99999;1,0045;-0,00451;2,03401E-05;
6,38;0,99999;1,0045;-0,00451;2,03401E-05;
6,4;1;1,0045;-0,0045;2,025E-05;
6,42;1;1,0045;-0,0045;2,025E-05;
6,44;1;1,0045;-0,0045;2,025E-05;
6,46;1;1,0045;-0,0045;2,025E-05;
6,48;1;1,0045;-0,0045;2,025E-05;
6,5;1;1,0045;-0,0045;2,025E-05;
6,52;1;1,0045;-0,0045;2,025E-05;
6,54;1;1,0045;-0,0045;2,025E-05;
6,56;1;1,0045;-0,0045;2,025E-05;
6,58;1;1,0045;-0,0045;2,025E-05;
6,6;1;1,0045;-0,0045;2,025E-05;
6,62;1;1,0045;-0,0045;2,025E-05;
6,64;1;1,0045;-0,0045;2,025E-05;
6,66;1;1,0045;-0,0045;2,025E-05;
6,68;1;1,0045;-0,0045;2,025E-05;
6,7;1;1,0045;-0,0045;2,025E-05;
6,72;1;1,0045;-0,0045;2,025E-05;
6,74;1;1,0045;-0,0045;2,025E-05;
6,76;1;1,0045;-0,0045;2,025E-05;
6,78;1;1,0045;-0,0045;2,025E-05;
6,8;1;1,0045;-0,0045;2,025E-05;
6,82;1;1,0045;-0,0045;2,025E-05;
6,84;1;1,0045;-0,0045;2,025E-05;
6,86;1;1,0045;-0,0045;2,025E-05;
6,88;1;1,0045;-0,0045;2,025E-05;
6,9;1;1,0045;-0,0045;2,025E-05;
6,92;1;1,0045;-0,0045;2,025E-05;
6,94;1;1,0045;-0,0045;2,025E-05;
6,96;1;1,0045;-0,0045;2,025E-05;
6,98;1;1,0045;-0,0045;2,025E-05;
7;1;1,0045;-0,0045;2,025E-05;
7,02;1;1,0045;-0,0045;2,025E-05;
7,04;1;1,0045;-0,0045;2,025E-05;
7,06;1;1,0045;-0,0045;2,025E-05;
7,08;1;1,0045;-0,0045;2,025E-05;
7,1;1;1,0045;-0,0045;2,025E-05;
7,12;1;1,0045;-0,0045;2,025E-05;
7,14;1;1,0045;-0,0045;2,025E-05;
7,16;1;1,0045;-0,0045;2,025E-05;
7,18;1;1,0045;-0,0045;2,025E-05;
7,2;1;1,0045;-0,0045;2,025E-05;
7,22;1;1,0045;-0,0045;2,025E-05;
7,24;1;1,0045;-0,0045;2,025E-05;
7,26;1;1,0045;-0,0045;2,025E-05;
7,28;1;1,0045;-0,0045;2,025E-05;
7,3;1;1,0045;-0,0045;2,025E-05;
7,32;1;1,0045;-0,0045;2,025E-05;
7,34;1;1,0045;-0,0045;2,025E-05;
7,36;1;1,0045;-0,0045;2,025E-05;
7,38;1;1,0045;-0,0045;2,025E-05;
7,4;1;1,0045;-0,0045;2,025E-05;
7,42;1;1,0045;-0,0045;2,025E-05;
7,44;1;1,0045;-0,0045;2,025E-05;
7,46;1;1,0045;-0,0045;2,025E-05;
7,48;1;1,0045;-0,0045;2,025E-05;
7,5;1;1,0045;-0,0045;2,025E-05;
7,52;1;1,0045;-0,0045;2,025E-05;
7,54;1;1,0045;-0,0045;2,025E-05;
7,56;1;1,0045;-0,0045;2,025E-05;
7,58;1;1,0045;-0,0045;2,025E-05;
7,6;1;1,0045;-0,0045;2,025E-05;
7,62;1;1,0045;-0,0045;2,025E-05;
7,64;1;1,0045;-0,0045;2,025E-05;
7,66;1;1,0045;-0,0045;2,025E-05;
7,68;1;1,0045;-0,0045;2,025E-05;
7,7;1;1,0045;-0,0045;2,025E-05;
7,72;1;1,0045;-0,0045;2,025E-05;
7,74;1;1,0045;-0,0045;2,025E-05;
7,76;1;1,0045;-0,0045;2,025E-05;
7,78;1;1,0045;-0,0045;2,025E-05;
7,8;1;1,0045;-0,0045;2,025E-05;
7,82;1;1,0045;-0,0045;2,025E-05;
7,84;1;1,0045;-0,0045;2,025E-05;
7,86;1;1,0045;-0,0045;2,025E-05;
7,88;1;1,0045;-0,0045;2,025E-05;
7,9;1;1,0045;-0,0045;2,025E-05;
7,92;1;1,0045;-0,0045;2,025E-05;
7,94;1;1,0045;-0,0045;2,025E-05;
7,96;1;1,0045;-0,0045;2,025E-05;
7,98;1;1,0045;-0,0045;2,025E-05;
8;1;1,0045;-0,0045;2,025E-05;
8,02;1;1,0045;-0,0045;2,025E-05;
8,04;1;1,0045;-0,0045;2,025E-05;
8,06;1;1,0045;-0,0045;2,025E-05;
8,08;1;1,0045;-0,0045;2,025E-05;
8,1;1;1,0045;-0,0045;2,025E-05;
8,12;1;1,0045;-0,0045;2,025E-05;
8,14;1;1,0045;-0,0045;2,025E-05;
8,16;1;1,0045;-0,0045;2,025E-05;
8,18;1;1,0045;-0,0045;2,025E-05;
8,2;1;1,0045;-0,0045;2,025E-05;
8,22;1;1,0045;-0,0045;2,025E-05;
8,24;1;1,0045;-0,0045;2,025E-05;
8,26;1;1,0045;-0,0045;2,025E-05;
8,28;1;1,0045;-0,0045;2,025E-05;
8,3;1;1,0045;-0,0045;2,025E-05;
8,32;1;1,0045;-0,0045;2,025E-05;
8,34;1;1,0045;-0,0045;2,025E-05;
8,36;1;1,0045;-0,0045;2,025E-05;
8,38;1;1,0045;-0,0045;2,025E-05;
8,4;1;1,0045;-0,0045;2,025E-05;
8,42;1;1,0045;-0,0045;2,025E-05;
8,44;1;1,0045;-0,0045;2,025E-05;
8,46;1;1,0045;-0,0045;2,025E-05;
8,48;1;1,0045;-0,0045;2,025E-05;
8,5;1;1,0045;-0,0045;2,025E-05;
8,52;1;1,0045;-0,0045;2,025E-05;
8,54;1;1,0045;-0,0045;2,025E-05;
8,56;1;1,0045;-0,0045;2,025E-05;
8,58;1;1,0045;-0,0045;2,025E-05;
8,6;1;1,0045;-0,0045;2,025E-05;
8,62;1;1,0045;-0,0045;2,025E-05;
8,64;1;1,0045;-0,0045;2,025E-05;
8,66;1;1,0045;-0,0045;2,025E-05;
8,68;1;1,0045;-0,0045;2,025E-05;
8,7;1;1,0045;-0,0045;2,025E-05;
8,72;1;1,0045;-0,0045;2,025E-05;
8,74;1;1,0045;-0,0045;2,025E-05;
8,76;1;1,0045;-0,0045;2,025E-05;
8,78;1;1,0045;-0,0045;2,025E-05;
8,8;1;1,0045;-0,0045;2,025E-05;
8,82;1;1,0045;-0,0045;2,025E-05;
8,84;1;1,0045;-0,0045;2,025E-05;
8,86;1;1,0045;-0,0045;2,025E-05;
8,88;1;1,0045;-0,0045;2,025E-05;
8,9;1;1,0045;-0,0045;2,025E-05;
8,92;1;1,0045;-0,0045;2,025E-05;
8,94;1;1,0045;-0,0045;2,025E-05;
8,96;1;1,0045;-0,0045;2,025E-05;
8,98;1;1,0045;-0,0045;2,025E-05;
9;1;1,0045;-0,0045;2,025E-05;
9,02;1;1,0045;-0,0045;2,025E-05;
9,04;1;1,0045;-0,0045;2,025E-05;
9,06;1;1,0045;-0,0045;2,025E-05;
9,08;1;1,0045;-0,0045;2,025E-05;
9,1;1;1,0045;-0,0045;2,025E-05;
9,12;1;1,0045;-0,0045;2,025E-05;
9,14;1;1,0045;-0,0045;2,025E-05;
9,16;1;1,0045;-0,0045;2,025E-05;
9,18;1;1,0045;-0,0045;2,025E-05;
9,2;1;1,0045;-0,0045;2,025E-05;
9,22;1;1,0045;-0,0045;2,025E-05;
9,24;1;1,0045;-0,0045;2,025E-05;
9,26;1;1,0045;-0,0045;2,025E-05;
9,28;1;1,0045;-0,0045;2,025E-05;
9,3;1;1,0045;-0,0045;2,025E-05;
9,32;1;1,0045;-0,0045;2,025E-05;
9,34;1;1,0045;-0,0045;2,025E-05;
9,36;1;1,0045;-0,0045;2,025E-05;
9,38;1;1,0045;-0,0045;2,025E-05;
9,4;1;1,0045;-0,0045;2,025E-05;
9,42;1;1,0045;-0,0045;2,025E-05;
9,44;1;1,0045;-0,0045;2,025E-05;
9,46;1;1,0045;-0,0045;2,025E-05;
9,48;1;1,0045;-0,0045;2,025E-05;
9,5;1;1,0045;-0,0045;2,025E-05;
9,52;1;1,0045;-0,0045;2,025E-05;
9,54;1;1,0045;-0,0045;2,025E-05;
9,56;1;1,0045;-0,0045;2,025E-05;
9,58;1;1,0045;-0,0045;2,025E-05;
9,6;1;1,0045;-0,0045;2,025E-05;
9,62;1;1,0045;-0,0045;2,025E-05;
9,64;1;1,0045;-0,0045;2,025E-05;
9,66;1;1,0045;-0,0045;2,025E-05;
9,68;1;1,0045;-0,0045;2,025E-05;
9,7;1;1,0045;-0,0045;2,025E-05;
9,72;1;1,0045;-0,0045;2,025E-05;
9,74;1;1,0045;-0,0045;2,025E-05;
9,76;1;1,0045;-0,0045;2,025E-05;
9,78;1;1,0045;-0,0045;2,025E-05;
9,8;1;1,0045;-0,0045;2,025E-05;
9,82;1;1,0045;-0,0045;2,025E-05;
9,84;1;1,0045;-0,0045;2,025E-05;
9,86;1;1,0045;-0,0045;2,025E-05;
9,88;1;1,0045;-0,0045;2,025E-05;
9,9;1;1,0045;-0,0045;2,025E-05;
9,92;1;1,0045;-0,0045;2,025E-05;
9,94;1;1,0045;-0,0045;2,025E-05;
9,96;1;1,0045;-0,0045;2,025E-05;
9,98;1;1,0045;-0,0045;2,025E-05;
10;1;1,0045;-0,0045;2,025E-05;
10,02;1;1,0045;-0,0045;2,025E-05;
10,04;1;1,0045;-0,0045;2,025E-05;
10,06;1;1,0045;-0,0045;2,025E-05;
10,08;1;1,0045;-0,0045;2,025E-05;
10,1;1;1,0045;-0,0045;2,025E-05;
10,12;1;1,0045;-0,0045;2,025E-05;
10,14;1;1,0045;-0,0045;2,025E-05;
10,16;1;1,0045;-0,0045;2,025E-05;
10,18;1;1,0045;-0,0045;2,025E-05;
10,2;1;1,0045;-0,0045;2,025E-05;
10,22;1;1,0045;-0,0045;2,025E-05;
10,24;1;1,0045;-0,0045;2,025E-05;
10,26;1;1,0045;-0,0045;2,025E-05;
10,28;1;1,0045;-0,0045;2,025E-05;
10,3;1;1,0045;-0,0045;2,025E-05;
10,32;1;1,0045;-0,0045;2,025E-05;
10,34;1;1,0045;-0,0045;2,025E-05;
10,36;1;1,0045;-0,0045;2,025E-05;
10,38;1;1,0045;-0,0045;2,025E-05;
10,4;1;1,0045;-0,0045;2,025E-05;
10,42;1;1,0045;-0,0045;2,025E-05;
10,44;1;1,0045;-0,0045;2,025E-05;
10,46;1;1,0045;-0,0045;2,025E-05;
10,48;1;1,0045;-0,0045;2,025E-05;
10,5;1;1,0045;-0,0045;2,025E-05;
10,52;1;1,0045;-0,0045;2,025E-05;
10,54;1;1,0045;-0,0045;2,025E-05;
