time,set point,output,process,set point test,output test,process test,
1.54,-0.60383,-30.063,-0.57088,0.02768,1.3809,0.027047
1.56,-0.60383,-30.015,-0.57255,0.02768,1.3787,0.027126
1.58,-0.60383,-29.967,-0.57413,0.02768,1.3765,0.027201
1.6,-0.60383,-29.919,-0.57561,0.02768,1.3743,0.027271
1.62,-0.60383,-29.871,-0.57699,0.02768,1.3721,0.027337
1.64,-0.60383,-29.824,-0.57829,0.02768,1.3699,0.027398
1.66,-0.60383,-29.776,-0.57949,0.02768,1.3677,0.027455
1.68,-0.60383,-29.729,-0.58061,0.02768,1.3655,0.027508
1.7,-0.60383,-29.682,-0.58165,0.02768,1.3634,0.027557
1.72,-0.60383,-29.636,-0.58261,0.02768,1.3613,0.027603
1.74,-0.60383,-29.59,-0.5835,0.02768,1.3591,0.027645
1.76,-0.60383,-29.544,-0.58432,0.02768,1.3571,0.027684
1.78,-0.60383,-29.499,-0.58506,0.02768,1.355,0.027719
1.8,-0.60383,-29.455,-0.58574,0.02768,1.3529,0.027751
1.82,-0.60383,-29.411,-0.58636,0.02768,1.3509,0.02778
1.84,-0.60383,-29.368,-0.58691,0.02768,1.3489,0.027807
1.86,-0.60383,-29.325,-0.58741,0.02768,1.347,0.02783
1.88,-0.60383,-29.284,-0.58786,0.02768,1.3451,0.027851
1.9,-0.60383,-29.242,-0.58825,0.02768,1.3432,0.02787
1.92,-0.60383,-29.202,-0.58859,0.02768,1.3413,0.027886
1.94,-0.60383,-29.162,-0.58888,0.02768,1.3395,0.0279
1.96,-0.60383,-29.123,-0.58913,0.02768,1.3377,0.027911
1.98,-0.60383,-29.085,-0.58933,0.02768,1.336,0.027921
2,-0.60383,-29.048,-0.58949,0.02768,1.3342,0.027929
2.02,-0.60383,-29.011,-0.58962,0.02768,1.3326,0.027935
2.04,-0.60383,-28.975,-0.5897,0.02768,1.3309,0.027939
2.06,-0.60383,-28.94,-0.58975,0.02768,1.3293,0.027941
2.08,-0.60383,-28.906,-0.58977,0.02768,1.3277,0.027942
2.1,-0.60383,-28.873,-0.58976,0.02768,1.3262,0.027942
2.12,-0.60383,-28.84,-0.58972,0.02768,1.3247,0.02794
2.14,-0.60383,-28.809,-0.58966,0.02768,1.3233,0.027937
2.16,-0.60383,-28.778,-0.58956,0.02768,1.3218,0.027932
2.18,-0.60383,-28.748,-0.58944,0.02768,1.3205,0.027927
2.2,-0.60383,-28.719,-0.5893,0.02768,1.3191,0.02792
2.22,-0.60383,-28.69,-0.58914,0.02768,1.3178,0.027912
2.24,-0.60383,-28.663,-0.58896,0.02768,1.3165,0.027904
2.26,-0.60383,-28.636,-0.58876,0.02768,1.3153,0.027894
2.28,-0.60383,-28.61,-0.58855,0.02768,1.3141,0.027884
2.3,-0.60383,-28.585,-0.58832,0.02768,1.313,0.027873
2.32,-0.60383,-28.56,-0.58807,0.02768,1.3118,0.027862
2.34,-0.60383,-28.537,-0.58782,0.02768,1.3108,0.027849
2.36,-0.60383,-28.514,-0.58755,0.02768,1.3097,0.027837
2.38,-0.60383,-28.492,-0.58727,0.02768,1.3087,0.027823
2.4,-0.60383,-28.47,-0.58698,0.02768,1.3077,0.02781
2.42,-0.60383,-28.45,-0.58668,0.02768,1.3068,0.027796
2.44,-0.60383,-28.43,-0.58637,0.02768,1.3059,0.027781
2.46,-0.60383,-28.411,-0.58606,0.02768,1.305,0.027766
2.48,-0.60383,-28.392,-0.58574,0.02768,1.3041,0.027751
2.5,-0.60383,-28.374,-0.58542,0.02768,1.3033,0.027736
2.52,-0.60383,-28.357,-0.58509,0.02768,1.3025,0.02772
2.54,-0.60383,-28.341,-0.58475,0.02768,1.3018,0.027704
2.56,-0.60383,-28.325,-0.58442,0.02768,1.301,0.027689
2.58,-0.60383,-28.31,-0.58408,0.02768,1.3003,0.027673
2.6,-0.60383,-28.295,-0.58374,0.02768,1.2997,0.027656
2.62,-0.60383,-28.281,-0.5834,0.02768,1.299,0.02764
2.64,-0.60383,-28.268,-0.58306,0.02768,1.2984,0.027624
2.66,-0.60383,-28.255,-0.58272,0.02768,1.2978,0.027608
2.68,-0.60383,-28.243,-0.58238,0.02768,1.2973,0.027592
2.7,-0.60383,-28.231,-0.58204,0.02768,1.2967,0.027576
2.72,-0.60383,-28.22,-0.58171,0.02768,1.2962,0.02756
2.74,-0.60383,-28.209,-0.58137,0.02768,1.2957,0.027544
2.76,-0.60383,-28.199,-0.58104,0.02768,1.2952,0.027528
2.78,-0.60383,-28.189,-0.58071,0.02768,1.2948,0.027513
2.8,-0.60383,-28.18,-0.58038,0.02768,1.2944,0.027497
2.82,-0.60383,-28.171,-0.58006,0.02768,1.294,0.027482
2.84,-0.60383,-28.163,-0.57974,0.02768,1.2936,0.027467
2.86,-0.60383,-28.155,-0.57943,0.02768,1.2932,0.027452
2.88,-0.60383,-28.148,-0.57911,0.02768,1.2929,0.027437
2.9,-0.60383,-28.141,-0.57881,0.02768,1.2926,0.027423
