time,set point,output,process,set point test,output test,process test
0,"-0,57087","-15,762",0,"0,02768","0,72401",0
"0,02","-0,57087","-16,7","-0,0011256","0,02768","0,76706","5,5738E-05"
"0,04","-0,57087","-17,578","-0,0042448","0,02768","0,80738","0,00021019"
"0,06","-0,57087","-18,401","-0,0090349","0,02768","0,84522","0,00044738"
"0,08","-0,57087","-19,176","-0,015222","0,02768","0,88082","0,00075377"
"0,1","-0,57087","-19,907","-0,022575","0,02768","0,91436","0,0011179"
"0,12","-0,57087","-20,596","-0,030896","0,02768","0,94602","0,0015299"
"0,14","-0,57087","-21,247","-0,040017","0,02768","0,97594","0,0019815"
"0,16","-0,57087","-21,863","-0,049795","0,02768","1,0042","0,0024657"
"0,18","-0,57087","-22,447","-0,060107","0,02768","1,031","0,0029763"
"0,2","-0,57087","-22,999","-0,070849","0,02768","1,0564","0,0035082"
"0,22","-0,57087","-23,523","-0,08193","0,02768","1,0805","0,0040569"
"0,24","-0,57087","-24,019","-0,093274","0,02768","1,1033","0,0046186"
"0,26","-0,57087","-24,49","-0,10481","0,02768","1,1249","0,0051901"
"0,28","-0,57087","-24,935","-0,11649","0,02768","1,1454","0,0057683"
"0,3","-0,57087","-25,358","-0,12826","0,02768","1,1648","0,006351"
"0,32","-0,57087","-25,758","-0,14007","0,02768","1,1831","0,006936"
"0,34","-0,57087","-26,137","-0,1519","0,02768","1,2006","0,0075215"
"0,36","-0,57087","-26,496","-0,1637","0,02768","1,217","0,0081058"
"0,38","-0,57087","-26,835","-0,17544","0,02768","1,2326","0,0086875"
"0,4","-0,57087","-27,156","-0,18712","0,02768","1,2473","0,0092654"
"0,42","-0,57087","-27,458","-0,19869","0,02768","1,2612","0,0098386"
"0,44","-0,57087","-27,744","-0,21015","0,02768","1,2743","0,010406"
"0,46","-0,57087","-28,013","-0,22148","0,02768","1,2867","0,010967"
"0,48","-0,57087","-28,266","-0,23266","0,02768","1,2983","0,01152"
"0,5","-0,57087","-28,503","-0,24368","0,02768","1,3092","0,012066"
"0,52","-0,57087","-28,726","-0,25453","0,02768","1,3195","0,012603"
"0,54","-0,57087","-28,935","-0,2652","0,02768","1,3291","0,013132"
"0,56","-0,57087","-29,13","-0,27569","0,02768","1,338","0,013651"
"0,58","-0,57087","-29,312","-0,28598","0,02768","1,3464","0,014161"
"0,6","-0,57087","-29,482","-0,29607","0,02768","1,3542","0,01466"
"0,62","-0,57087","-29,639","-0,30596","0,02768","1,3614","0,01515"
"0,64","-0,57087","-29,785","-0,31564","0,02768","1,3681","0,015629"
"0,66","-0,57087","-29,92","-0,3251","0,02768","1,3743","0,016098"
"0,68","-0,57087","-30,045","-0,33435","0,02768","1,38","0,016556"
"0,7","-0,57087","-30,159","-0,34339","0,02768","1,3853","0,017004"
"0,72","-0,57087","-30,263","-0,3522","0,02768","1,3901","0,01744"
"0,74","-0,57087","-30,358","-0,3608","0,02768","1,3944","0,017866"
"0,76","-0,57087","-30,445","-0,36918","0,02768","1,3984","0,01828"
"0,78","-0,57087","-30,522","-0,37733","0,02768","1,402","0,018684"
"0,8","-0,57087","-30,592","-0,38527","0,02768","1,4052","0,019077"
"0,82","-0,57087","-30,653","-0,39298","0,02768","1,408","0,019459"
"0,84","-0,57087","-30,708","-0,40048","0,02768","1,4105","0,019831"
"0,86","-0,57087","-30,755","-0,40776","0,02768","1,4127","0,020191"
"0,88","-0,57087","-30,796","-0,41483","0,02768","1,4145","0,020541"
"0,9","-0,57087","-30,83","-0,42168","0,02768","1,4161","0,02088"
"0,92","-0,57087","-30,858","-0,42831","0,02768","1,4174","0,021209"
"0,94","-0,57087","-30,88","-0,43474","0,02768","1,4184","0,021527"
"0,96","-0,57087","-30,897","-0,44097","0,02768","1,4192","0,021835"
"0,98","-0,57087","-30,909","-0,44698","0,02768","1,4197","0,022133"
1,"-0,57087","-30,916","-0,4528","0,02768","1,42","0,022421"
"1,02","-0,57087","-30,918","-0,45842","0,02768","1,4201","0,022699"
"1,04","-0,57087","-30,916","-0,46384","0,02768","1,42","0,022968"
"1,06","-0,57087","-30,91","-0,46907","0,02768","1,4198","0,023227"
"1,08","-0,57087","-30,9","-0,47411","0,02768","1,4193","0,023476"
"1,1","-0,57087","-30,886","-0,47896","0,02768","1,4187","0,023717"
"1,12","-0,57087","-30,869","-0,48363","0,02768","1,4179","0,023948"
"1,14","-0,57087","-30,849","-0,48812","0,02768","1,417","0,024171"
"1,16","-0,57087","-30,826","-0,49244","0,02768","1,4159","0,024384"
"1,18","-0,57087","-30,801","-0,49659","0,02768","1,4148","0,02459"
"1,2","-0,57087","-30,772","-0,50057","0,02768","1,4135","0,024787"
"1,22","-0,57087","-30,742","-0,50438","0,02768","1,4121","0,024975"
"1,24","-0,57087","-30,709","-0,50803","0,02768","1,4106","0,025156"
"1,26","-0,57087","-30,675","-0,51153","0,02768","1,409","0,02533"
"1,28","-0,57087","-30,638","-0,51488","0,02768","1,4073","0,025495"
"1,3","-0,57087","-30,6","-0,51807","0,02768","1,4055","0,025653"
"1,32","-0,57087","-30,56","-0,52112","0,02768","1,4037","0,025805"
"1,34","-0,57087","-30,519","-0,52404","0,02768","1,4018","0,025949"
"1,36","-0,57087","-30,477","-0,52681","0,02768","1,3999","0,026086"
"1,38","-0,57087","-30,434","-0,52945","0,02768","1,3979","0,026217"
"1,4","-0,57087","-30,39","-0,53196","0,02768","1,3959","0,026341"
"1,42","-0,57087","-30,345","-0,53434","0,02768","1,3938","0,026459"
"1,44","-0,57087","-30,299","-0,53661","0,02768","1,3917","0,026571"
"1,46","-0,57087","-30,252","-0,53875","0,02768","1,3896","0,026677"
"1,48","-0,57087","-30,206","-0,54078","0,02768","1,3874","0,026778"
"1,5","-0,57087","-30,158","-0,5427","0,02768","1,3852","0,026873"
"1,52","-0,57087","-30,111","-0,54451","0,02768","1,3831","0,026962"
"1,54","-0,57087","-30,063","-0,54621","0,02768","1,3809","0,027047"
"1,56","-0,57087","-30,015","-0,54782","0,02768","1,3787","0,027126"
"1,58","-0,57087","-29,967","-0,54933","0,02768","1,3765","0,027201"
"1,6","-0,57087","-29,919","-0,55074","0,02768","1,3743","0,027271"
"1,62","-0,57087","-29,871","-0,55207","0,02768","1,3721","0,027337"
"1,64","-0,57087","-29,824","-0,5533","0,02768","1,3699","0,027398"
"1,66","-0,57087","-29,776","-0,55446","0,02768","1,3677","0,027455"
"1,68","-0,57087","-29,729","-0,55553","0,02768","1,3655","0,027508"
"1,7","-0,57087","-29,682","-0,55652","0,02768","1,3634","0,027557"
"1,72","-0,57087","-29,636","-0,55744","0,02768","1,3613","0,027603"
"1,74","-0,57087","-29,59","-0,55829","0,02768","1,3591","0,027645"
"1,76","-0,57087","-29,544","-0,55907","0,02768","1,3571","0,027684"
"1,78","-0,57087","-29,499","-0,55979","0,02768","1,355","0,027719"
"1,8","-0,57087","-29,455","-0,56044","0,02768","1,3529","0,027751"
"1,82","-0,57087","-29,411","-0,56103","0,02768","1,3509","0,02778"
"1,84","-0,57087","-29,368","-0,56156","0,02768","1,3489","0,027807"
"1,86","-0,57087","-29,325","-0,56203","0,02768","1,347","0,02783"
"1,88","-0,57087","-29,284","-0,56246","0,02768","1,3451","0,027851"
"1,9","-0,57087","-29,242","-0,56283","0,02768","1,3432","0,02787"
"1,92","-0,57087","-29,202","-0,56316","0,02768","1,3413","0,027886"
"1,94","-0,57087","-29,162","-0,56344","0,02768","1,3395","0,0279"
"1,96","-0,57087","-29,123","-0,56367","0,02768","1,3377","0,027911"
"1,98","-0,57087","-29,085","-0,56387","0,02768","1,336","0,027921"
2,"-0,57087","-29,048","-0,56402","0,02768","1,3342","0,027929"
"2,02","-0,57087","-29,011","-0,56414","0,02768","1,3326","0,027935"
"2,04","-0,57087","-28,975","-0,56423","0,02768","1,3309","0,027939"
"2,06","-0,57087","-28,94","-0,56428","0,02768","1,3293","0,027941"
"2,08","-0,57087","-28,906","-0,56429","0,02768","1,3277","0,027942"
"2,1","-0,57087","-28,873","-0,56428","0,02768","1,3262","0,027942"
"2,12","-0,57087","-28,84","-0,56425","0,02768","1,3247","0,02794"
"2,14","-0,57087","-28,809","-0,56418","0,02768","1,3233","0,027937"
"2,16","-0,57087","-28,778","-0,56409","0,02768","1,3218","0,027932"
"2,18","-0,57087","-28,748","-0,56398","0,02768","1,3205","0,027927"
"2,2","-0,57087","-28,719","-0,56384","0,02768","1,3191","0,02792"
"2,22","-0,57087","-28,69","-0,56369","0,02768","1,3178","0,027912"
"2,24","-0,57087","-28,663","-0,56352","0,02768","1,3165","0,027904"
"2,26","-0,57087","-28,636","-0,56333","0,02768","1,3153","0,027894"
"2,28","-0,57087","-28,61","-0,56312","0,02768","1,3141","0,027884"
"2,3","-0,57087","-28,585","-0,5629","0,02768","1,313","0,027873"
"2,32","-0,57087","-28,56","-0,56267","0,02768","1,3118","0,027862"
"2,34","-0,57087","-28,537","-0,56242","0,02768","1,3108","0,027849"
"2,36","-0,57087","-28,514","-0,56216","0,02768","1,3097","0,027837"
"2,38","-0,57087","-28,492","-0,5619","0,02768","1,3087","0,027823"
"2,4","-0,57087","-28,47","-0,56162","0,02768","1,3077","0,02781"
"2,42","-0,57087","-28,45","-0,56133","0,02768","1,3068","0,027796"
"2,44","-0,57087","-28,43","-0,56104","0,02768","1,3059","0,027781"
"2,46","-0,57087","-28,411","-0,56074","0,02768","1,305","0,027766"
"2,48","-0,57087","-28,392","-0,56043","0,02768","1,3041","0,027751"
"2,5","-0,57087","-28,374","-0,56012","0,02768","1,3033","0,027736"
"2,52","-0,57087","-28,357","-0,55981","0,02768","1,3025","0,02772"
"2,54","-0,57087","-28,341","-0,55949","0,02768","1,3018","0,027704"
"2,56","-0,57087","-28,325","-0,55917","0,02768","1,301","0,027689"
"2,58","-0,57087","-28,31","-0,55885","0,02768","1,3003","0,027673"
"2,6","-0,57087","-28,295","-0,55852","0,02768","1,2997","0,027656"
"2,62","-0,57087","-28,281","-0,5582","0,02768","1,299","0,02764"
"2,64","-0,57087","-28,268","-0,55787","0,02768","1,2984","0,027624"
"2,66","-0,57087","-28,255","-0,55755","0,02768","1,2978","0,027608"
"2,68","-0,57087","-28,243","-0,55722","0,02768","1,2973","0,027592"
"2,7","-0,57087","-28,231","-0,5569","0,02768","1,2967","0,027576"
"2,72","-0,57087","-28,22","-0,55658","0,02768","1,2962","0,02756"
"2,74","-0,57087","-28,209","-0,55626","0,02768","1,2957","0,027544"
"2,76","-0,57087","-28,199","-0,55594","0,02768","1,2952","0,027528"
"2,78","-0,57087","-28,189","-0,55562","0,02768","1,2948","0,027513"
"2,8","-0,57087","-28,18","-0,55531","0,02768","1,2944","0,027497"
"2,82","-0,57087","-28,171","-0,555","0,02768","1,294","0,027482"
"2,84","-0,57087","-28,163","-0,55469","0,02768","1,2936","0,027467"
"2,86","-0,57087","-28,155","-0,55439","0,02768","1,2932","0,027452"
"2,88","-0,57087","-28,148","-0,55409","0,02768","1,2929","0,027437"
"2,9","-0,57087","-28,141","-0,5538","0,02768","1,2926","0,027423"
"2,92","-0,57087","-28,134","-0,55351","0,02768","1,2923","0,027408"
"2,94","-0,57087","-28,128","-0,55323","0,02768","1,292","0,027394"
"2,96","-0,57087","-28,122","-0,55295","0,02768","1,2917","0,02738"
"2,98","-0,57087","-28,117","-0,55267","0,02768","1,2915","0,027367"
3,"-0,57087","-28,111","-0,5524","0,02768","1,2912","0,027353"
"3,02","-0,57087","-28,107","-0,55214","0,02768","1,291","0,02734"
"3,04","-0,57087","-28,102","-0,55188","0,02768","1,2908","0,027327"
"3,06","-0,57087","-28,098","-0,55162","0,02768","1,2906","0,027315"
"3,08","-0,57087","-28,094","-0,55137","0,02768","1,2904","0,027302"
"3,1","-0,57087","-28,09","-0,55113","0,02768","1,2903","0,02729"
"3,12","-0,57087","-28,087","-0,55089","0,02768","1,2901","0,027278"
"3,14","-0,57087","-28,084","-0,55066","0,02768","1,29","0,027267"
"3,16","-0,57087","-28,081","-0,55043","0,02768","1,2898","0,027256"
"3,18","-0,57087","-28,078","-0,55021","0,02768","1,2897","0,027245"
"3,2","-0,57087","-28,076","-0,54999","0,02768","1,2896","0,027234"
"3,22","-0,57087","-28,074","-0,54978","0,02768","1,2895","0,027224"
"3,24","-0,57087","-28,072","-0,54958","0,02768","1,2894","0,027214"
"3,26","-0,57087","-28,07","-0,54938","0,02768","1,2893","0,027204"
"3,28","-0,57087","-28,069","-0,54919","0,02768","1,2893","0,027194"
"3,3","-0,57087","-28,067","-0,549","0,02768","1,2892","0,027185"
"3,32","-0,57087","-28,066","-0,54882","0,02768","1,2892","0,027176"
"3,34","-0,57087","-28,065","-0,54864","0,02768","1,2891","0,027167"
"3,36","-0,57087","-28,064","-0,54847","0,02768","1,2891","0,027159"
"3,38","-0,57087","-28,064","-0,5483","0,02768","1,289","0,02715"
"3,4","-0,57087","-28,063","-0,54814","0,02768","1,289","0,027142"
"3,42","-0,57087","-28,063","-0,54798","0,02768","1,289","0,027135"
"3,44","-0,57087","-28,062","-0,54783","0,02768","1,289","0,027127"
"3,46","-0,57087","-28,062","-0,54769","0,02768","1,289","0,02712"
"3,48","-0,57087","-28,062","-0,54755","0,02768","1,289","0,027113"
"3,5","-0,57087","-28,062","-0,54741","0,02768","1,289","0,027106"
"3,52","-0,57087","-28,062","-0,54728","0,02768","1,289","0,0271"
"3,54","-0,57087","-28,063","-0,54715","0,02768","1,289","0,027093"
"3,56","-0,57087","-28,063","-0,54703","0,02768","1,289","0,027087"
"3,58","-0,57087","-28,064","-0,54692","0,02768","1,289","0,027082"
"3,6","-0,57087","-28,064","-0,5468","0,02768","1,2891","0,027076"
"3,62","-0,57087","-28,065","-0,5467","0,02768","1,2891","0,027071"
