time;RNA;PID;A;A²;;%;
2,12;10,1412087;10,262;-0,1207913;0,014590538;;;
2,14;10,14135849;10,251;-0,10964151;0,012021261;;;
2,16;10,14157639;10,24;-0,09842361;0,009687207;;;
2,18;10,14184881;10,229;-0,08715119;0,00759533;;;
2,2;10,14217579;10,219;-0,07682421;0,005901959;;;
2,22;10,14254373;10,209;-0,06645627;0,004416436;;;
2,24;10,14296629;10,199;-0,05603371;0,003139777;;;
2,26;10,14341625;10,189;-0,04558375;0,002077878;;;
2,28;10,14392091;10,18;-0,03607909;0,001301701;;;
2,3;10,14445304;10,171;-0,02654696;0,000704741;;;
2,32;10,14501268;10,162;-0,01698732;0,000288569;;;
2,34;10,1456135;10,154;-0,0083865;7,03334E-05;;;
2,36;10,14624189;10,146;0,00024189;5,85108E-08;;;
2,38;10,14688423;10,138;0,00888423;7,89295E-05;;;
2,4;10,1475542;10,13;0,0175542;0,00030815;;;
2,42;10,14825183;10,123;0,02525183;0,000637655;;;
2,44;10,14896349;10,116;0,03296349;0,001086592;;;
2,46;10,14968918;10,109;0,04068918;0,001655609;;;
2,48;10,15042893;10,102;0,04842893;0,002345361;;;
2,5;10,15118276;10,096;0,05518276;0,003045137;;;
2,52;10,15195068;10,09;0,06195068;0,003837887;;;
2,54;10,152719;10,084;0,068719;0,004722301;;;
2,56;10,15350144;10,079;0,07450144;0,005550465;;;
2,58;10,15428429;10,073;0,08128429;0,006607136;;;
2,6;10,15508129;10,068;0,08708129;0,007583151;;;
2,62;10,15586495;10,063;0,09286495;0,008623899;;;
2,64;10,15666278;10,058;0,09866278;0,009734344;;;
2,66;10,15746102;10,054;0,10346102;0,010704183;;;
2,68;10,15824591;10,049;0,10924591;0,011934669;;;
2,7;10,15904498;10,045;0,11404498;0,013006257;;;
2,72;10,15983067;10,041;0,11883067;0,014120728;;;
2,74;10,16061676;10,037;0,12361676;0,015281103;;;
2,76;10,16138945;10,034;0,12738945;0,016228072;;;
2,78;10,16216253;10,03;0,13216253;0,017466934;;;
2,8;10,16292217;10,027;0,13592217;0,018474836;;;
2,82;10,16368218;10,024;0,13968218;0,019511111;;;
2,84;10,16442873;10,021;0,14342873;0,020571801;;;
2,86;10,16517564;10,018;0,14717564;0,021660669;;;
2,88;10,16590905;10,016;0,14990905;0,022472723;;;
2,9;10,16662896;10,013;0,15362896;0,023601857;;;
2,92;10,16733534;10,011;0,15633534;0,024440739;;;
2,94;10,16804203;10,008;0,16004203;0,025613451;;;
2,96;10,16872131;10,006;0,16272131;0,026478225;;;
2,98;10,16940087;10,004;0,16540087;0,027357448;;;
3;10,17006684;10,003;0,16706684;0,027911329;;;
3,02;10,1707192;10,001;0,1697192;0,028804607;;;
3,04;10,17135794;9,9993;0,17205794;0,029603935;;;
3,06;10,17198304;9,9978;0,17418304;0,030339731;;;
3,08;10,17259448;9,9964;0,17619448;0,031044495;;;
3,1;10,17319224;9,9951;0,17809224;0,031716846;;;
3,12;10,17377631;9,9939;0,17987631;0,032355487;;;
3,14;10,1743606;9,9928;0,1815606;0,032964251;;;
3,16;10,17491725;9,9918;0,18311725;0,033531927;;;
3,18;10,17546017;9,9909;0,18456017;0,034062456;;;
3,2;10,17598934;9,99;0,18598934;0,034592035;;;
3,22;10,17651868;9,9893;0,18721868;0,035050834;;;
3,24;10,17702031;9,9886;0,18842031;0,035502213;;;
3,26;10,17750816;9,988;0,18950816;0,035913343;;;
3,28;10,1779822;9,9874;0,1905822;0,036321575;;;
3,3;10,17845638;9,9869;0,19155638;0,036693847;;;
3,32;10,17890279;9,9865;0,19240279;0,037018834;;;
3,34;10,17933536;9,9862;0,19313536;0,037301267;;;
3,36;10,17976805;9,9859;0,19386805;0,037584821;;;
3,38;10,18017292;9,9856;0,19457292;0,037858621;;;
3,4;10,18057789;9,9854;0,19517789;0,038094409;;;
