,time,set point,output,process,set point test,output test,process test
66,33.0,5.0,9.2692392324,2.4190711581,0.0,0.10175079022,1.0983644411
67,33.5,5.0,9.2493048676,2.5004961129,0.0,0.11944725475,1.0643257176
68,34.0,5.0,9.2289637416,2.5801453629,0.0,0.13744106635,1.0305449821
69,34.5,5.0,9.2085213541,2.6578681564,0.0,0.15555311921,0.9971730535
70,35.0,5.0,9.1882431354,2.7335426677,0.0,0.17362737766,0.96433865916
71,35.5,5.0,9.1683578927,2.8070731375,0.0,0.19152879442,0.93215055037
72,36.0,5.0,9.1490610479,2.8783872127,0.0,0.2091413744,0.9006994611
73,36.5,5.0,9.1305176732,2.9474334752,0.0,0.22636637687,0.87005991943
74,37.0,5.0,9.1128653314,3.0141791536,0.0,0.24312064865,0.84029191973
75,37.5,5.0,9.0962167273,3.0786080059,0.0,0.25933508138,0.81144246381
76,38.0,5.0,9.0806621786,3.1407183676,0.0,0.27495318581,0.78354697872
77,38.5,5.0,9.0662719126,3.2005213543,0.0,0.2899297766,0.75663061895
78,39.0,5.0,9.0530981978,3.2580392118,0.0,0.30422976099,0.7307094601
79,39.5,5.0,9.0411773166,3.3133038046,0.0,0.31782702507,0.7057915912
80,40.0,5.0,9.0305313886,3.3663552352,0.0,0.33070341175,0.68187811212
81,40.5,5.0,9.0211700501,3.4172405854,0.0,0.34284778443,0.65896404271
82,41.0,5.0,9.013091999,3.4660127735,0.0,0.35425517096,0.63703914946
83,41.5,5.0,9.0062864127,3.5127295184,0.0,0.36492598244,0.61608869575
84,42.0,5.0,9.0007342443,3.5574524039,0.0,0.37486530187,0.59609412091
85,42.5,5.0,8.9964094074,3.6002460378,0.0,0.38408223778,0.57703365351
86,43.0,5.0,8.9932798528,3.641177296,0.0,0.39258933827,0.55888286362
87,43.5,5.0,8.9913085474,3.6803146494,0.0,0.40040206099,0.54161515881
88,44.0,5.0,8.9904543595,3.7177275637,0.0,0.40753829506,0.52520222819
89,44.5,5.0,8.9906728568,3.7534859695,0.0,0.41401793101,0.50961443864
90,45.0,5.0,8.9919170246,3.787659795,0.0,0.41986247496,0.49482118707
91,45.5,5.0,8.9941379087,3.820318558,0.0,0.42509470365,0.48079121241
92,46.0,5.0,8.9972851883,3.851531011,0.0,0.42973835704,0.46749287055
93,46.5,5.0,9.0013076857,3.8813648354,0.0,0.43381786547,0.45489437571
94,47.0,5.0,9.0061538155,3.9098863806,0.0,0.43735810834,0.44296401083
95,47.5,5.0,9.0117719801,3.937160444,0.0,0.44038420189,0.43167031001
96,48.0,5.0,9.0181109144,3.9632500878,0.0,0.44292131331,0.42098221557
97,48.5,5.0,9.0251199851,3.9882164889,0.0,0.444994499,0.41086921187
98,49.0,5.0,9.0327494476,4.0121188198,0.0,0.44662856475,0.40130143841
99,49.5,5.0,9.0409506647,4.0350141562,0.0,0.4478479458,0.39224978405
100,50.0,1.0,1.7920115961,4.0412481775,4.0,5.8517070792,0.39538083549
101,50.5,1.0,1.684978837,4.032798158,4.0,5.9120815948,0.4091768106
102,51.0,1.0,1.5986418938,4.011484387,4.0,5.9613350057,0.43225337214
103,51.5,1.0,1.5308365964,3.9789786714,4.0,6.0007731276,0.4633505388
104,52.0,1.0,1.4795584601,3.9368126863,4.0,6.0315887324,0.50132403299
105,52.5,1.0,1.442954933,3.8863861399,4.0,6.0548691458,0.54513706061
106,53.0,1.0,1.4193176796,3.828974726,4.0,6.0716034873,0.59385251605
107,53.5,1.0,1.4070749464,3.7657378428,4.0,6.082689558,0.64662560414
108,54.0,1.0,1.404784044,3.6977260573,4.0,6.0889403788,0.7026968691
109,54.5,1.0,1.4111239798,3.6258883033,4.0,6.0910903861,0.76138561938
110,55.0,1.0,1.4248882655,3.5510788012,4.0,6.0898012924,0.82208373662
111,55.5,1.0,1.4449779249,3.4740636919,4.0,6.0856676191,0.88424985576
112,56.0,1.0,1.4703947161,3.3955273794,4.0,6.0792219123,0.94740390307
113,56.5,1.0,1.5002345874,3.3160785803,4.0,6.0709396499,1.0111219783
114,57.0,1.0,1.5336813739,3.2362560794,4.0,6.0612438525,1.0750315671
115,57.5,1.0,1.5700007464,3.1565341924,4.0,6.050509407,1.1388070687
116,58.0,1.0,1.6085344168,3.0773279397,4.0,6.0390671162,1.2021656264
117,58.5,1.0,1.6486946035,2.9989979346,4.0,6.0272074844,1.2648632439
118,59.0,1.0,1.6899587592,2.9218549927,4.0,6.0151842506,1.3266911764
119,59.5,1.0,1.7318645596,2.8461644685,4.0,6.0032176826,1.3874725796
120,60.0,4.0,7.2172536723,2.78393225,0.0,0.58846716662,1.4353645348
121,60.5,4.0,7.3464508467,2.7339012953,0.0,0.51724277816,1.4717353049
122,61.0,4.0,7.4600215563,2.6948966137,0.0,0.45734116112,1.4978439166
123,61.5,4.0,7.5592905153,2.6658222082,0.0,0.40759349688,1.5148468394
124,62.0,4.0,7.645502955,2.6456579145,0.0,0.36692306495,1.5238044119
125,62.5,4.0,7.7198269552,2.6334561692,0.0,0.33433969807,1.525687009
126,63.0,4.0,7.7833559582,2.6283387352,0.0,0.30893443878,1.5213809469
127,63.5,4.0,7.8371114276,2.6294934113,0.0,0.28987440355,1.5116941236
128,64.0,4.0,7.8820456176,2.6361707473,0.0,0.27639785856,1.497361397
129,64.5,4.0,7.9190444207,2.6476807848,0.0,0.26780950907,1.4790497002
130,65.0,4.0,7.9489302668,2.6633898404,0.0,0.26347600321,1.457362899
131,65.5,4.0,7.9724650498,2.6827173461,0.0,0.26282164925,1.4328463955
132,66.0,4.0,7.9903530595,2.7051327587,0.0,0.2653243444,1.4059914825
133,66.5,4.0,8.0032438993,2.7301525497,0.0,0.27051171223,1.3772394555
134,67.0,4.0,8.0117353758,2.7573372828,0.0,0.27795744458,1.3469854895
135,67.5,4.0,8.0163763428,2.7862887871,0.0,0.28727784369,1.3155822871
136,68.0,4.0,8.0176694907,2.8166474314,0.0,0.29812855895,1.2833435057
137,68.5,4.0,8.0160740689,2.8480895026,0.0,0.31020151291,1.2505469732
138,69.0,4.0,8.012008534,2.8803246931,0.0,0.32322201003,1.2174376984
139,69.5,4.0,8.0058531163,2.9130936973,0.0,0.33694602215,1.1842306869
140,70.0,4.0,7.997952299,2.9461659193,0.0,0.35115764372,1.1511135694
141,70.5,4.0,7.9886172055,2.979337292,0.0,0.36566671001,1.1182490511
142,71.0,4.0,7.9781278931,3.0124282063,0.0,0.38030657158,1.0857771921
143,71.5,4.0,7.966735548,3.0452815501,0.0,0.39493201778,1.0538175255
144,72.0,4.0,7.9546645832,3.0777608553,0.0,0.40941734254,1.0224710226
