,time,set point,output,process,set point test,output test,process test
139,"2,78",2,"20,038","1,9902",0,0,0
140,"2,8",2,"20,048","1,9904",0,0,0
141,"2,82",2,"20,056","1,9906",0,0,0
142,"2,84",2,"20,062","1,9909",0,0,0
143,"2,86",2,"20,068","1,9912",0,0,0
144,"2,88",2,"20,073","1,9916",0,0,0
145,"2,9",2,"20,076","1,9919",0,0,0
146,"2,92",2,"20,079","1,9923",0,0,0
147,"2,94",2,"20,081","1,9927",0,0,0
148,"2,96",2,"20,083","1,9931",0,0,0
149,"2,98",2,"20,084","1,9936",0,0,0
150,3,2,"20,084","1,994",3,"48,093","0,017775"
151,"3,02",2,"20,083","1,9944",3,"50,786","0,066809"
152,"3,04",2,"20,083","1,9948",3,"52,928","0,14179"
153,"3,06",2,"20,081","1,9952",3,"54,576","0,238"
154,"3,08",2,"20,08","1,9956",3,"55,784","0,35122"
155,"3,1",2,"20,078","1,996",3,"56,601","0,47774"
156,"3,12",2,"20,076","1,9964",3,"57,073","0,61426"
157,"3,14",2,"20,074","1,9967",3,"57,243","0,75791"
158,"3,16",2,"20,071","1,9971",3,"57,149","0,90618"
159,"3,18",2,"20,069","1,9974",3,"56,828","1,0569"
160,"3,2",2,"20,066","1,9977",3,"56,313","1,2081"
161,"3,22",2,"20,064","1,998",3,"55,635","1,3582"
162,"3,24",2,"20,061","1,9983",3,"54,819","1,5059"
163,"3,26",2,"20,058","1,9985",3,"53,893","1,6499"
164,"3,28",2,"20,056","1,9988",3,"52,877","1,7895"
165,"3,3",2,"20,053","1,999",3,"51,793","1,9237"
166,"3,32",2,"20,05","1,9992",3,"50,659","2,0519"
167,"3,34",2,"20,048","1,9994",3,"49,491","2,1738"
168,"3,36",2,"20,045","1,9995",3,"48,304","2,289"
169,"3,38",2,"20,043","1,9997",3,"47,11","2,3971"
170,"3,4",2,"20,041","1,9998",3,"45,919","2,4982"
171,"3,42",2,"20,038",2,3,"44,743","2,5922"
172,"3,44",2,"20,036","2,0001",3,"43,589","2,679"
173,"3,46",2,"20,034","2,0002",3,"42,464","2,7588"
174,"3,48",2,"20,033","2,0002",3,"41,374","2,8318"
175,"3,5",2,"20,031","2,0003",3,"40,323","2,898"
176,"3,52",2,"20,029","2,0004",3,"39,317","2,9578"
177,"3,54",2,"20,028","2,0004",3,"38,356","3,0114"
178,"3,56",2,"20,026","2,0005",3,"37,445","3,059"
179,"3,58",2,"20,025","2,0005",3,"36,583","3,101"
180,"3,6",2,"20,024","2,0005",3,"35,773","3,1377"
181,"3,62",2,"20,023","2,0006",3,"35,015","3,1694"
182,"3,64",2,"20,022","2,0006",3,"34,308","3,1964"
183,"3,66",2,"20,021","2,0006",3,"33,652","3,219"
184,"3,68",2,"20,02","2,0006",3,"33,046","3,2376"
185,"3,7",2,"20,02","2,0006",3,"32,489","3,2525"
186,"3,72",2,"20,019","2,0006",3,"31,979","3,2639"
187,"3,74",2,"20,018","2,0006",3,"31,515","3,2723"
